Adjective,Position,Word_order,Type_of_Adj,Item_mean,Item_SD,N
turca,Pre-nominal,AdjN,post-nominal,4.368421053,2.113725682,38
turca,Post-nominal,NAdj,post-nominal,5.947368421,1.393384537,38
unos,Pre-nominal,AdjN,pre-nominal,6.342105263,1.121685888,76
unos,Post-nominal,NAdj,pre-nominal,2.815789474,1.970803968,76
veinte,Pre-nominal,AdjN,pre-nominal,6.684210526,0.820069887,38
veinte,Post-nominal,NAdj,pre-nominal,2.842105263,1.92247404,38
verde,Pre-nominal,AdjN,no change,3.842105263,1.896316711,76
verde,Post-nominal,NAdj,no change,5.921052632,1.32301006,76
viejo,Pre-nominal,AdjN,change,4.671052632,2.093724961,152
viejo,Post-nominal,NAdj,change,4.933333333,1.961338025,152
